Frequency,Algorithm,Behavior,Model_ID,Reward,Avg_Speed,Crashed
High_Frequency,QRDQN,Aggressive,High_Frequency_QRDQN_Aggressive,49.175043533801215,20.622657450076805,0
High_Frequency,QRDQN,Aggressive,High_Frequency_QRDQN_Aggressive,47.57545072143801,20.57265745007681,0
High_Frequency,QRDQN,Aggressive,High_Frequency_QRDQN_Aggressive,46.34571803132134,20.35599078341014,0
High_Frequency,QRDQN,Aggressive,High_Frequency_QRDQN_Aggressive,50.864868433016724,20.722657450076802,0
High_Frequency,QRDQN,Aggressive,High_Frequency_QRDQN_Aggressive,49.656754304748205,20.639324116743477,0
High_Frequency,QRDQN,Aggressive,High_Frequency_QRDQN_Aggressive,47.82176584815954,20.522657450076807,0
High_Frequency,QRDQN,Aggressive,High_Frequency_QRDQN_Aggressive,-21.468180415428314,21.645358273125527,1
High_Frequency,QRDQN,Aggressive,High_Frequency_QRDQN_Aggressive,47.01351948830036,20.355990783410142,0
High_Frequency,QRDQN,Aggressive,High_Frequency_QRDQN_Aggressive,48.30671459979633,20.47265745007681,0
High_Frequency,QRDQN,Aggressive,High_Frequency_QRDQN_Aggressive,-24.325230758547402,22.81699468643616,1
High_Frequency,QRDQN,Aggressive,High_Frequency_QRDQN_Aggressive,-8.953822361385313,20.18319353733603,1
High_Frequency,QRDQN,Aggressive,High_Frequency_QRDQN_Aggressive,42.931102245683235,20.03932411674348,0
High_Frequency,QRDQN,Aggressive,High_Frequency_QRDQN_Aggressive,53.27399451799704,21.139324116743474,0
High_Frequency,QRDQN,Aggressive,High_Frequency_QRDQN_Aggressive,48.423984360324404,20.589324116743477,0
High_Frequency,QRDQN,Aggressive,High_Frequency_QRDQN_Aggressive,46.15812221775104,20.42265745007681,0
High_Frequency,QRDQN,Aggressive,High_Frequency_QRDQN_Aggressive,53.68964900838652,21.0887911938486,0
High_Frequency,QRDQN,Aggressive,High_Frequency_QRDQN_Aggressive,51.191754810589075,20.905990783410143,0
High_Frequency,QRDQN,Aggressive,High_Frequency_QRDQN_Aggressive,47.31452940294695,20.455990783410137,0
High_Frequency,QRDQN,Aggressive,High_Frequency_QRDQN_Aggressive,44.31482108315599,20.439324116743478,0
High_Frequency,QRDQN,Aggressive,High_Frequency_QRDQN_Aggressive,50.919885643444985,20.67265745007173,0
High_Frequency,QRDQN,Aggressive,High_Frequency_QRDQN_Aggressive,-16.771654743363268,20.878899523988924,1
High_Frequency,QRDQN,Aggressive,High_Frequency_QRDQN_Aggressive,53.3810005907015,20.969382201112797,0
High_Frequency,QRDQN,Aggressive,High_Frequency_QRDQN_Aggressive,46.64971014343985,20.322657450076807,0
High_Frequency,QRDQN,Aggressive,High_Frequency_QRDQN_Aggressive,51.652278693343135,20.9226574500738,0
High_Frequency,QRDQN,Aggressive,High_Frequency_QRDQN_Aggressive,2.763185206362923,20.980666000022996,1
High_Frequency,QRDQN,Aggressive,High_Frequency_QRDQN_Aggressive,51.19078170041786,20.705990783410144,0
High_Frequency,QRDQN,Aggressive,High_Frequency_QRDQN_Aggressive,50.590820754778285,20.671296954148954,0
High_Frequency,QRDQN,Aggressive,High_Frequency_QRDQN_Aggressive,52.19835461210857,20.872657450076808,0
High_Frequency,QRDQN,Aggressive,High_Frequency_QRDQN_Aggressive,48.83461623338473,20.72265745007681,0
High_Frequency,QRDQN,Aggressive,High_Frequency_QRDQN_Aggressive,55.965967390350514,21.222657450076802,0
High_Frequency,QRDQN,Aggressive,High_Frequency_QRDQN_Aggressive,58.197397911435196,21.466377545715027,0
High_Frequency,QRDQN,Aggressive,High_Frequency_QRDQN_Aggressive,46.78738501450693,20.25599078340963,0
High_Frequency,QRDQN,Aggressive,High_Frequency_QRDQN_Aggressive,46.7966064159235,20.239324116743475,0
High_Frequency,QRDQN,Aggressive,High_Frequency_QRDQN_Aggressive,1.4777215415119471,20.041906623842113,1
High_Frequency,QRDQN,Aggressive,High_Frequency_QRDQN_Aggressive,47.7878212130889,20.38932406691771,0
High_Frequency,QRDQN,Aggressive,High_Frequency_QRDQN_Aggressive,49.161018066753705,20.549426073774438,0
High_Frequency,QRDQN,Aggressive,High_Frequency_QRDQN_Aggressive,48.471801334124244,20.58924094319326,0
High_Frequency,QRDQN,Aggressive,High_Frequency_QRDQN_Aggressive,-21.155903582126946,22.328147998681438,1
High_Frequency,QRDQN,Aggressive,High_Frequency_QRDQN_Aggressive,56.154163633212725,21.389324116743477,0
High_Frequency,QRDQN,Aggressive,High_Frequency_QRDQN_Aggressive,21.24862562647581,21.27441418674326,1
High_Frequency,QRDQN,Aggressive,High_Frequency_QRDQN_Aggressive,48.50019183956375,20.689324116743478,0
High_Frequency,QRDQN,Aggressive,High_Frequency_QRDQN_Aggressive,47.4256240089499,20.389324005379983,0
High_Frequency,QRDQN,Aggressive,High_Frequency_QRDQN_Aggressive,53.09495290167096,21.122657450076805,0
High_Frequency,QRDQN,Aggressive,High_Frequency_QRDQN_Aggressive,49.04328876435677,20.6391916903651,0
High_Frequency,QRDQN,Aggressive,High_Frequency_QRDQN_Aggressive,-24.124134063681502,21.04303363186081,1
High_Frequency,QRDQN,Aggressive,High_Frequency_QRDQN_Aggressive,53.23237949918438,21.00599078341014,0
High_Frequency,QRDQN,Aggressive,High_Frequency_QRDQN_Aggressive,51.79511475509635,20.93932411674347,0
High_Frequency,QRDQN,Aggressive,High_Frequency_QRDQN_Aggressive,48.69462035281287,20.472657450076802,0
High_Frequency,QRDQN,Aggressive,High_Frequency_QRDQN_Aggressive,51.52988590511948,20.772536164106157,0
High_Frequency,QRDQN,Aggressive,High_Frequency_QRDQN_Aggressive,49.22239700244304,20.594224535984416,0
High_Frequency,QRDQN,Aggressive,High_Frequency_QRDQN_Aggressive,-0.7923330774376289,20.447021676053932,1
High_Frequency,QRDQN,Aggressive,High_Frequency_QRDQN_Aggressive,48.04947877834341,20.405990783410143,0
High_Frequency,QRDQN,Aggressive,High_Frequency_QRDQN_Aggressive,46.879194060845435,20.239324116743475,0
High_Frequency,QRDQN,Aggressive,High_Frequency_QRDQN_Aggressive,51.188602686265,20.746956757359893,0
High_Frequency,QRDQN,Aggressive,High_Frequency_QRDQN_Aggressive,9.010833140952055,20.700828718584205,1
High_Frequency,QRDQN,Aggressive,High_Frequency_QRDQN_Aggressive,57.302886528869955,21.534443944880948,0
High_Frequency,QRDQN,Aggressive,High_Frequency_QRDQN_Aggressive,58.121320411537894,21.572657449564076,0
High_Frequency,QRDQN,Aggressive,High_Frequency_QRDQN_Aggressive,47.09040923950465,20.439293237039582,0
High_Frequency,QRDQN,Aggressive,High_Frequency_QRDQN_Aggressive,47.519315052490846,20.339324116743473,0
High_Frequency,QRDQN,Aggressive,High_Frequency_QRDQN_Aggressive,-15.91808316887714,20.410605710586125,1
High_Frequency,QRDQN,Aggressive,High_Frequency_QRDQN_Aggressive,16.431933244517264,20.993201811021923,1
High_Frequency,QRDQN,Aggressive,High_Frequency_QRDQN_Aggressive,46.95392917795384,20.355990783410142,0
High_Frequency,QRDQN,Aggressive,High_Frequency_QRDQN_Aggressive,-22.93464879292423,23.164713530661587,1
High_Frequency,QRDQN,Aggressive,High_Frequency_QRDQN_Aggressive,45.01204487851592,20.189324116743478,0
High_Frequency,QRDQN,Aggressive,High_Frequency_QRDQN_Aggressive,-13.063319756662779,21.015573422230883,1
High_Frequency,QRDQN,Aggressive,High_Frequency_QRDQN_Aggressive,50.807758367146604,20.739324116741354,0
High_Frequency,QRDQN,Aggressive,High_Frequency_QRDQN_Aggressive,50.52810642984639,20.77265745007681,0
High_Frequency,QRDQN,Aggressive,High_Frequency_QRDQN_Aggressive,-26.98607185947965,26.702062868254536,1
High_Frequency,QRDQN,Aggressive,High_Frequency_QRDQN_Aggressive,44.15653760205351,20.305990783410145,0
High_Frequency,QRDQN,Aggressive,High_Frequency_QRDQN_Aggressive,51.16396480631103,20.703990443839956,0
High_Frequency,QRDQN,Aggressive,High_Frequency_QRDQN_Aggressive,45.34435345026299,20.239324116743475,0
High_Frequency,QRDQN,Aggressive,High_Frequency_QRDQN_Aggressive,47.91104440333502,20.505408868124924,0
High_Frequency,QRDQN,Aggressive,High_Frequency_QRDQN_Aggressive,50.565690386193204,20.62265737682519,0
High_Frequency,QRDQN,Aggressive,High_Frequency_QRDQN_Aggressive,50.644718462436295,20.78932411674347,0
