Frequency,Algorithm,Behavior,Total_Episodes,Crash_Rate,Avg_Reward,Std_Reward,Avg_Speed
High_Frequency,DQN,Aggressive,1000,0.999,-5.822236070617415,17.642104304244366,29.55753275912674
High_Frequency,DQN,Conservative,1000,0.994,-18.999829362997406,17.970168840810206,29.405493455448855
High_Frequency,QRDQN,Aggressive,1000,0.2,38.3962419646314,24.28897398055808,20.805321354100407
High_Frequency,QRDQN,Conservative,1000,0.307,26.351704362682558,30.78784659525151,20.624593709290114
Low_Frequency,DQN,Conservative,1000,0.982,-15.770146514995066,4.386208928204047,25.431856705777083
Low_Frequency,QRDQN,Conservative,1000,0.366,-7.2245195686069925,9.652414692231918,19.926624093228927
