Model_Name,Algorithm,Gamma,Frequency,Version,Episode,Total_Reward,Episode_Length,Avg_Speed,Crashed
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,53,-11.958008244659325,50,21.578082459140077,1
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,54,-12.122125318878537,60,21.06506871714117,1
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,55,-13.0,22,20.55112305244289,1
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,56,-12.166630597472913,80,20.68956079711534,1
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,57,0.0,120,20.03253435857072,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,58,-10.29570363976522,42,23.30724102443346,1
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,59,-12.407756452982515,21,22.864712602761898,1
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,60,3.3412547806395834,120,21.44920102523739,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,61,-11.085473636055836,10,28.073542175198735,1
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,62,1.4150176079472732,120,20.57420102523739,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,63,-10.958164464406941,110,21.046953306992975,1
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,64,3.578924462232384,120,21.365867691904054,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,65,0.0,120,20.03253435857072,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,66,0.6716242213926327,120,20.32420102523739,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,67,0.20116431812319763,120,20.32420102523739,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,68,4.169737395167587,120,21.57420102523739,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,69,-11.779273618699865,25,22.464453190782386,1
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,70,-11.214807844164127,9,29.011245566927226,1
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,71,0.0,120,20.03253435857072,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,72,0.43086416626538554,120,20.240867691904054,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,73,0.11931088574763002,120,20.32420102523739,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,74,1.0324033246451858,120,20.57420102523739,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,75,2.0994461990859894,120,20.990867691904054,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,76,0.0,120,20.32420102523739,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,77,2.6577264782889314,120,21.115867691904054,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,78,-13.0,8,19.75819860872911,1
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,79,0.9652318664685348,120,20.65753435857072,0
Optimized_1Hz_Gamma93_target_150,QRDQN,0.93,2Hz,optimized,80,1.910614338453375,120,20.78253435857072,0
